Beer,Brewery,Style,YourRating,GlobalRating,FirstCheckIn,RecentCheckIn
Cherry Lime Margarita,Contrary Brewing Company,Sour - Fruited Gose,4.25,3.77,08/30/21,08/30/21
SCIENCE!,WeldWerks Brewing Co.,Sour - Fruited Berliner Weisse,4.25,4.14,08/30/21,08/30/21
Barrel Aged Aurox Imperial Stout (Cacao Nibs & Raspberries) -- Batch II (8/13/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.09,08/30/21,08/30/21
Single Origin,4 Hands Brewing Company,Stout - Imperial / Double,3.5,4.15,08/24/21,08/24/21
Wednesday (2021),Cycle Brewing Company,Stout - Imperial / Double,4.25,4.22,08/24/21,08/24/21
Dark Hollow,Blue Mountain Brewery,Stout - Imperial / Double,4,4,08/24/21,08/24/21
Double Local Dream Mirror,Modist Brewing Co.,IPA - Imperial / Double New England / Hazy,4.25,4.2,08/24/21,08/24/21
"TO THE MILKY WAY & BACK II - RASPBERRY, STRAWBERRY, BLACKBERRY, VANILLA",Evil Twin Brewing NYC,IPA - Milkshake,4.75,4.43,08/24/21,08/24/21
Sweet Baby Jesus!,DuClaw Brewing Company,Porter - American,3.75,3.83,08/24/21,08/24/21
Double Dry Hopped Stacks On Stacks,Other Half Brewing Co.,IPA - Imperial / Double,4,4.32,08/21/21,08/21/21
I.P.A.,Katz's Delicatessen,IPA - American,3.75,3.56,08/21/21,08/21/21
Braaaaaaaains - Strawberry & Lemon,Drekker Brewing Company,Sour - Smoothie / Pastry,4.25,4.23,08/20/21,08/20/21
Green City,Other Half Brewing Co.,IPA - American,4.25,4.14,08/20/21,08/20/21
Rick's Red Ale,Dempsey's Brew Pub and Restaurant,Red Ale - Irish,3,3.17,08/20/21,08/20/21
Merman IPA,Coney Island Brewery,IPA - American,3.75,3.62,08/19/21,08/19/21
Brooklyn East IPA,Brooklyn Brewery,IPA - English,3.25,3.51,08/19/21,08/19/21
Brooklyn Lager,Brooklyn Brewery,Lager - Vienna,3,3.46,08/19/21,08/19/21
Watermelon Session Ale,Montauk Brewing Company,IPA - Session,3.25,3.47,08/19/21,08/19/21
Coconut Disaster,Lion Bridge Brewing Company,Porter - Other,3.5,3.81,08/16/21,08/16/21
Waitoreke NEIPA,Alluvial Brewing Company,IPA - New England / Hazy,4.25,3.97,08/15/21,08/15/21
Yard Sale,Lion Bridge Brewing Company,IPA - American,3,3.82,08/13/21,08/13/21
Big Pig In The City,Reclaimed Rails Brewing Company,Pilsner - German,4,3.65,08/13/21,08/13/21
Blueberry Muffin,Second State Brewing,Fruit Beer,3.75,3.65,08/13/21,08/13/21
Packout: Fruit Punch Shandy,West O Beer,Shandy / Radler,3.75,3.54,08/13/21,08/13/21
Bourbon-Wrapped Double Chocolate Cheesecake,Lion Bridge Brewing Company,Stout - Imperial / Double,3.75,4.11,08/13/21,08/13/21
Joy As An Act of Resistance,Lua Brewing,IPA - New England / Hazy,4.25,4.14,08/13/21,08/13/21
Birthday Bourbon County Brand Stout (2020),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.59,08/11/21,08/11/21
Barrel-Aged Narwhal,Sierra Nevada Brewing Co.,Stout - Imperial / Double,3.75,4.2,08/11/21,08/11/21
Pollinator,Contrary Brewing Company,Honey Beer,3.75,3.7,08/06/21,08/06/21
Home-Baked (2021),Lion Bridge Brewing Company,Stout - Imperial / Double,4.75,4.4,08/06/21,08/06/21
Most Premium Bourbon Barrel Aged Russian Imperial Stout (2021),Gigantic Brewing Company,Stout - Russian Imperial,4.25,4.19,08/05/21,08/05/21
Birthday Diva (2020),Marto Brewing Company,Stout - Imperial / Double,5,4.61,07/31/21,07/31/21
Soul Hunter,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.16,07/31/21,07/31/21
STRAIGHT FYRE,BlackStack Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.31,07/31/21,07/31/21
Crazy Beaches Hazy Coconut IPA,NoCoast Beer Co,IPA - New England / Hazy,3.5,3.83,07/28/21,07/28/21
To Peach Their Own,NoCoast Beer Co,Sour - Berliner Weisse,3.75,3.67,07/28/21,07/28/21
Escape,Firetrucker Brewery,Wheat Beer - American Pale Wheat,3.75,3.51,07/28/21,07/28/21
Groovy Ruby,Barn Town Brewing,IPA - American,3.5,3.9,07/27/21,07/27/21
Luna Juice (2021),Pulpit Rock Brewing Company,IPA - Imperial / Double,4,4.15,07/26/21,07/26/21
Dusk Till Dusk (2020),Jailbreak Brewing Company,Stout - Imperial / Double,4.5,4.3,07/20/21,07/20/21
Marvoloso 2020: V08,Commonwealth Brewing Company,Stout - Imperial / Double Pastry,4.5,4.34,07/20/21,07/20/21
Sprankle,Transient Artisan Ales,Sour - Fruited,4,4.09,07/20/21,07/20/21
River Beer,Pulpit Rock Brewing Company,Shandy / Radler,4,3.7,07/17/21,07/17/21
Strawberry Milkshake,Lake Time Brewery,IPA - Milkshake,3,3.61,07/16/21,07/16/21
Lontra IPA,Alluvial Brewing Company,IPA - New England / Hazy,4.25,4.03,07/16/21,07/16/21
Froot Camp: Millions of Peaches,WeldWerks Brewing Co.,Sour - Fruited Berliner Weisse,4.5,4.22,07/16/21,07/16/21
Exit 1: Bayshore Oyster Stout (2021),Flying Fish Brewing Co.,Stout - Oyster,2.5,3.79,07/13/21,07/13/21
Dessert Cart - Sour Cinnabon,Mountains Walking Brewery,Stout - Imperial / Double Pastry,3.75,3.95,07/13/21,07/13/21
Cap’n Kooks On Pastry Island,Other Half Brewing Co.,Stout - Imperial / Double Pastry,4.5,4.26,07/13/21,07/13/21
Pastrytown 2021 - Chocolate Macadamia Nut,Other Half Brewing Co.,Stout - Imperial / Double,4.25,4.08,07/13/21,07/13/21
Månedalen,Pulpit Rock Brewing Company,Wheat Beer - Other,3.75,3.74,07/12/21,07/12/21
Cake Batter Drive-In,Barn Town Brewing,IPA - Milkshake,4,3.71,07/10/21,07/10/21
Hop Skewer,Barn Town Brewing,IPA - American,4.5,4.15,07/10/21,07/10/21
Cryo Citra Neon,Barn Town Brewing,IPA - New England / Hazy,4,4.03,07/10/21,07/10/21
Things We Don’t Say,Barn Town Brewing,IPA - New England / Hazy,3.75,3.92,07/07/21,07/07/21
The Real Slim Shandy,Barn Town Brewing,Shandy / Radler,3.75,3.67,07/07/21,07/07/21
Drunken Mornings,Brothers Craft Brewing,Stout - Imperial / Double Coffee,2.5,4.01,07/07/21,07/07/21
Language of Thunder Cumulus (2020),TrimTab Brewing Co.,Stout - Imperial / Double,4.25,4.18,07/07/21,07/07/21
Citra Sky,Exile Brewing Company,IPA - New England / Hazy,4,3.85,07/07/21,07/07/21
LOL.,Pulpit Rock Brewing Company,Stout - Imperial / Double Pastry,4.75,4.46,07/06/21,07/06/21
Glitter Bomb,Pulpit Rock Brewing Company,Sour - Fruited,4,4.19,07/05/21,07/05/21
Raspberry Lime,Truly Hard Seltzer,Hard Seltzer,3,3.08,07/05/21,07/05/21
NugMo,Toppling Goliath Brewing Co.,IPA - American,4,4.06,07/04/21,07/04/21
Pompeii Beach,Toppling Goliath Brewing Co.,IPA - American,3.25,3.72,07/04/21,07/04/21
Smile Saver Pale Ale,Pulpit Rock Brewing Company,Pale Ale - American,3.5,3.83,07/04/21,07/04/21
Tropical Punch,Truly Hard Seltzer,Hard Seltzer,3.5,3.34,07/04/21,07/04/21
Citrus Punch,Truly Hard Seltzer,Hard Seltzer,2.25,3.16,07/04/21,07/04/21
Fruit Punch,Truly Hard Seltzer,Hard Seltzer,3.5,3.29,07/04/21,07/04/21
Berry Punch,Truly Hard Seltzer,Hard Seltzer,3.75,3.25,07/04/21,07/04/21
Broken Skull IPA,El Segundo Brewing Company,IPA - American,4,3.8,07/04/21,07/04/21
Barrel Aged Baltic Porter (2020),Saltfire Brewing Co,Porter - Baltic,4.25,4.21,06/29/21,06/29/21
Barrel Aged Still Kooks,Other Half Brewing Co.,Stout - Imperial / Double,4.5,4.17,06/29/21,06/29/21
The Raspberry Bohemian,Exile Brewing Company,Sour - Fruited,3.75,3.88,06/29/21,06/29/21
Mango Cart,Golden Road Brewing,Fruit Beer,3.5,3.8,06/29/21,06/29/21
Exit 16 - Double IPA,Flying Fish Brewing Co.,IPA - Imperial / Double,3.5,3.76,06/29/21,06/29/21
"Ferryman's Chocolate Covered Cherries, Russian Imperial Stout W/ Cherries, Cacao, & Vanilla",Confluence Brewing Company,Stout - Russian Imperial,3.25,3.85,06/29/21,06/29/21
Coyote Verde,Fishback & Stephenson,Cider - Traditional / Apfelwein,3.75,3.68,06/26/21,06/26/21
Grodziskie,Lua Brewing,Grodziskie / Grätzer,3.75,3.76,06/25/21,06/25/21
Skip 9,Lua Brewing,Sour - Fruited,3.75,4.25,06/25/21,06/25/21
Tacos And Hash,Lua Brewing,IPA - New England / Hazy,4,4.27,06/25/21,06/25/21
Grow Till Tall,Lua Brewing,Pale Ale - American,4.25,4.06,06/25/21,06/25/21
The Main Course,Lua Brewing,Sour - Other,4.25,4.4,06/25/21,06/25/21
Sunbather,Lua Brewing,Sour - Fruited,4.25,4.16,06/25/21,06/25/21
Sent By Liars,Anchorage Brewing Company,Stout - Imperial / Double,4.75,4.51,06/24/21,06/24/21
Traeblod Pecan Pie,Mikkeller Brewing San Diego,Stout - Imperial / Double,4.5,4.39,06/20/21,06/20/21
Træblod Bourbon Barrel Aged (2021),Mikkeller Brewing San Diego,Stout - Imperial / Double,4.5,4.32,06/16/21,06/16/21
Infinite Wishes (2020),Smog City Brewing Co.,Stout - Imperial / Double,4.25,4.2,06/11/21,06/11/21
Ferrari Backpack,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.15,06/11/21,06/11/21
Wahlbrewski,Harpoon Brewery,Pale Ale - American,3.5,3.53,06/09/21,06/09/21
Bubba,Backpocket Brewing,IPA - New England / Hazy,4,3.88,06/06/21,06/06/21
Blackberry Lemonade,Lake Time Brewery,Sour - Fruited,3.75,3.81,06/06/21,06/06/21
Swift,SingleSpeed Brewing Company,Pale Ale - New England / Hazy,3,3.73,06/06/21,06/06/21
312 Lemonade Shandy,Goose Island Beer Co.,Shandy / Radler,3.75,3.47,06/06/21,06/06/21
Strawberry Bohemian,Exile Brewing Company,Sour - Berliner Weisse,4,3.82,05/27/21,05/27/21
Carrera 3.0,Big Grove Brewery,IPA - Imperial / Double New England / Hazy,3.75,4.13,05/27/21,05/27/21
"Ferryman's German Chocolate, Bourbon Barrel Aged Russian Imperial Stout W/ Cacao & Coconut",Confluence Brewing Company,Stout - Russian Imperial,4.5,4.25,05/25/21,05/25/21
Into the Mist,Transient Artisan Ales,Barleywine - American,4,3.78,05/25/21,05/25/21
Cookie Junkie: Snickerdoodle Stout,Backpocket Brewing,Stout - Pastry,3.25,3.79,05/25/21,05/25/21
Maple Barrel Aged No Cake (2021),Transient Artisan Ales,Stout - Imperial / Double,4.5,4.39,05/24/21,05/24/21
Snowed In - Vanilla (2021),Copper Kettle Brewing Company (Colorado),Stout - Imperial / Double Oatmeal,3.75,4.08,05/21/21,05/21/21
Pineapple Papaya Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19,05/21/21,05/21/21
ReUnion IPA,ReUnion Brewery,IPA - American,3.75,3.67,05/21/21,05/21/21
Don't Be Amber,Farmhand Brewing Company,Brown Ale - American,3.75,3.73,05/18/21,05/18/21
Zimm Light,Farmhand Brewing Company,Lager - American Light,3.75,3.61,05/18/21,05/18/21
German Chocolate Cake Stout,Farmhand Brewing Company,Stout - Milk / Sweet,4,3.93,05/18/21,05/18/21
Batch 1000 Barleywine,Big Grove Brewery,Barleywine - English,4.5,4.24,05/18/21,05/18/21
Sparkle Water Yellow,Transient Artisan Ales,Hard Seltzer,3,3.6,05/18/21,05/18/21
Sparkle Water Green,Transient Artisan Ales,Hard Seltzer,4,3.7,05/18/21,05/18/21
Mind to Devour,Transient Artisan Ales,IPA - Imperial / Double,4.25,4.21,05/16/21,05/16/21
Crisp Apple Unfiltered,Angry Orchard Cider Company,Cider - Dry,3,3.56,05/14/21,05/14/21
Bowser & Koopa,Transient Artisan Ales,Stout - Imperial / Double,4.5,4.14,05/14/21,05/14/21
Juice Factory Pale Ale,ReUnion Brewery,Pale Ale - New England / Hazy,3.75,3.74,05/13/21,05/13/21
Key Lime Sour,Crawford Brew Works,Sour - Other,2.75,3.62,05/13/21,05/13/21
Bugs Buckley,Transient Artisan Ales,Stout - Imperial / Double Pastry,4.25,4.16,05/13/21,05/13/21
Plurple,Transient Artisan Ales,Sour - Fruited,4.5,4.12,05/13/21,05/13/21
Weller Barrel No Cake (2021),Transient Artisan Ales,Stout - American,4.25,4.31,05/13/21,05/13/21
Junie (Double Barrel),Transient Artisan Ales,Stout - Imperial / Double,4.5,4.42,05/13/21,05/13/21
Hay Z IPA,Farmhand Brewing Company,IPA - New England / Hazy,4,3.77,05/11/21,05/11/21
The Sacrifice,Anchorage Brewing Company,Stout - Imperial / Double,4.5,4.47,05/08/21,05/08/21
Barrel-Aged Oort,Ecliptic Brewing,Stout - Imperial / Double,3.75,4.17,05/06/21,05/06/21
Oud Bruin Kriek,pFriem Family Brewers,Sour - Flanders Oud Bruin,4.25,4.24,05/06/21,05/06/21
Mixed Cuvees (2021),Cycle Brewing Company,Stout - Imperial / Double,4.5,4.36,05/06/21,05/06/21
Blueberry Cobbler,WeldWerks Brewing Co.,Sour - Smoothie / Pastry,4.5,4.28,05/06/21,05/06/21
Double Raspberry EndLayer,Modist Brewing Co.,Sour - Fruited Gose,4,4.05,05/06/21,05/06/21
Barrel Aged Aurox Imperial Stout (Maple Pecan Pie) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.75,4.18,05/03/21,05/03/21
Main Boss,Fair State Brewing Cooperative,Stout - Imperial / Double Pastry,3.75,3.86,05/03/21,05/03/21
Pulpagogo - Pineapple/Pink Guava/Coconut,White Elm Brewing Company,Sour - Fruited,4.5,4.19,05/01/21,05/01/21
Double Berry Shake,Great Notion Brewing,Sour - Fruited,4.5,4.35,04/30/21,04/30/21
The Explorer,Anchorage Brewing Company,Stout - Imperial / Double,4.25,4.31,04/30/21,04/30/21
SOUTHERN NIGHTS & NORTHERN LIGHTS,BlackStack Brewing,IPA - Triple New England / Hazy,4,4.31,04/30/21,04/30/21
Life Like Weeds,Lua Brewing,Sour - Fruited,4.25,4.14,04/30/21,04/30/21
Gil's Pils,Lua Brewing,Pilsner - German,3.75,3.83,04/30/21,04/30/21
Coffee Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double Coffee,4.25,4.45,04/25/21,04/25/21
Darkness (2021) Barrel-Aged,Surly Brewing Company,Stout - Russian Imperial,4.25,4.4,04/23/21,04/23/21
Barrel Aged Cicada Killer – Maple Cinnamon (2020),Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.27,04/22/21,04/22/21
Mallow Gold (2021),Lion Bridge Brewing Company,Stout - Pastry,4.5,4.28,04/22/21,04/22/21
WIRETAP,Black Project Spontaneous & Wild Ales,Sour - Other,4,3.99,04/18/21,04/18/21
Cookie Junkie Peanut Butter & Sandwich Cookie Dessert Stout,Backpocket Brewing,Stout - Pastry,4,3.97,04/14/21,04/14/21
Brasserie Noir (2017),Goose Island Beer Co.,Stout - Imperial / Double,4,4.32,04/14/21,04/14/21
"Dear Annie,",Kinship Brewing Co.,IPA - New England / Hazy,4.25,3.83,04/14/21,04/14/21
Barrel Aged The Visitor Imperial Stout (Triple Chocolate) -- Batch I (9/10/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,4.04,04/13/21,04/13/21
Barrel Aged Aurox Imperial Stout (Sumatran Coffee & Hazelnut) -- Batch I (2/29/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.3,04/13/21,04/13/21
Pineapple Lemonade Naturdays,Anheuser-Busch,Lager - American Light,3,3.49,04/12/21,04/12/21
Barrel Aged Aurox Imperial Stout (Pure Liquid Cacao & Coconut) -- Batch IV (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.27,04/12/21,04/12/21
Sandbar Sunday,Islamorada Beer Company,Wheat Beer - American Pale Wheat,2.75,3.48,04/08/21,04/08/21
Black & Tan,Yuengling Brewery,Black & Tan,3.5,3.44,04/08/21,04/08/21
Imperial Golden Nugget,Toppling Goliath Brewing Co.,IPA - Imperial / Double,4.25,4.18,04/08/21,04/08/21
Winter Ale,Blue Point Brewing Company,Winter Ale,3.5,3.38,04/08/21,04/08/21
Immoderate,Lua Brewing,Stout - Imperial / Double,4.5,4.49,04/01/21,04/01/21
That's Not A Knife,Barn Town Brewing,IPA - American,3.75,3.76,04/01/21,04/01/21
Tiny Beam of Light,Lua Brewing,Pale Ale - American,4.5,4.15,04/01/21,04/01/21
Yay!,Marto Brewing Company,Stout - Imperial / Double Pastry,4.5,4.24,03/31/21,03/31/21
Hoax (2020),Hardywood Park Craft Brewery,Stout - Imperial / Double Milk,4.25,4.31,03/25/21,03/25/21
Dark Age,Wicked Weed Brewing,Stout - Imperial / Double,4.25,4.19,03/25/21,03/25/21
Tropical Trike,Fenders Brewing,IPA - New England / Hazy,3.5,3.86,03/25/21,03/25/21
Charles Thiccens,Gezellig Brewing Company,Porter - Imperial / Double,4,4.05,03/25/21,03/25/21
Gingham,Jackie O's Brewery,Sour - Fruited,3.75,4.09,03/25/21,03/25/21
Peanut Butter Porter,Fort Myers Brewing Company,Porter - Other,4,3.88,03/23/21,03/23/21
Barrel Aged Aurox Imperial Stout (Brownie Batter) -- Batch I (3/5/2021),Alluvial Brewing Company,Stout - Imperial / Double,3.5,4.13,03/22/21,03/22/21
Smoothie Bubbs - Berry Blast,Barn Town Brewing,Hard Seltzer,4.25,4.36,03/21/21,03/21/21
Panther Cub (2021),Founders Brewing Co.,Porter - Imperial / Double,4.25,4.14,03/21/21,03/21/21
420 Extra Pale Ale,SweetWater Brewing Company,Pale Ale - XPA (Extra Pale),3.75,3.61,03/19/21,03/19/21
Big Bad Baptist (Release #137),"Epic Brewing Co. (Utah, Colorado)",Stout - Imperial / Double Coffee,4.25,4.29,03/11/21,03/11/21
Cooperage Camp Fire Black Lager,Confluence Brewing Company,Lager - Strong,4,N/A,03/11/21,03/11/21
Sticky Juice,Barn Town Brewing,IPA - New England / Hazy,4.25,4.32,03/07/21,03/07/21
Smoothie Bubbs: Strawberry Banana,Barn Town Brewing,Hard Seltzer,4,4.39,03/07/21,03/07/21
BA Coconut Everything,Barn Town Brewing,Stout - Pastry,4.75,4.39,03/07/21,03/07/21
BA Hazel's Breakfast Spread,Barn Town Brewing,Stout - Pastry,4.75,4.22,03/07/21,03/07/21
BA Birthday,Barn Town Brewing,Stout - Pastry,4.5,4.26,03/07/21,03/07/21
"Bourbon Barrel Monster Cookie Stout, Bourbon Barrel Aged Stout W/ Chocolate & Peanut Butter",Confluence Brewing Company,Stout - Other,4.5,4.28,03/07/21,03/07/21
Flower Sour,Casa Bruja Brewing Co.,Sour - Other,2.25,3.6,03/05/21,03/05/21
Banana Cream Pie Sour,Barn Town Brewing,Sour - Smoothie / Pastry,4,3.99,02/28/21,02/28/21
UNIFY - Hazy IPA,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.11,02/27/21,02/27/21
Big Bang,Lake Time Brewery,Stout - Milk / Sweet,3.5,3.65,02/27/21,02/27/21
Cherry Fandango,Toppling Goliath Brewing Co.,Sour - Fruited,4.25,4.19,02/27/21,02/27/21
Stavropol ,Confluence Brewing Company,Stout - Russian Imperial,4,3.87,02/25/21,02/25/21
Barrel Aged The Visitor Imperial Stout (Chocolate Cherry) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4,4.1,02/21/21,02/21/21
Then Before And Now Once More,Barn Town Brewing,IPA - American,4.25,3.96,02/13/21,02/13/21
Young's Double Chocolate Stout,Eagle Brewery (formerly Charles Wells),Stout - Milk / Sweet,3,3.67,02/13/21,02/13/21
Dark Charge - Coffee Vanilla (2020),Braxton Brewing Company,Stout - Imperial / Double,4.25,3.89,02/13/21,02/13/21
Stone Fruited Sour,Barn Town Brewing,Sour - Fruited,4.25,4.05,02/13/21,02/13/21
Idiom - Peanut,Lua Brewing,Porter - English,4,4.13,02/10/21,02/10/21
Idiom - Cacao,Lua Brewing,Porter - English,3.5,3.85,02/10/21,02/10/21
Idiom - Coffee,Lua Brewing,Porter - English,3.75,3.85,02/10/21,02/10/21
Idiom - Coconut,Lua Brewing,Porter - English,4.25,4.07,02/10/21,02/10/21
Caramel Pecan GAZPROM! (2021),Lion Bridge Brewing Company,Stout - Russian Imperial,4.25,4.32,02/07/21,02/07/21
UNIFY - Hazy IPA,Iowa Brewers Guild,IPA - New England / Hazy,4,3.83,02/03/21,02/03/21
Smangpop: Everybody Chase Me!,Lua Brewing,Sour - Fruited,4,4.27,02/03/21,02/03/21
Imaginary Time,Barn Town Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.24,02/03/21,02/03/21
New Beginnings DDH NEIPA,Brightside Aleworks,IPA - New England / Hazy,4.25,4.28,02/03/21,02/03/21
"Smush: Mango, Pineapple, Passionfruit, Guava",Lua Brewing,Hard Seltzer,4.25,4.26,01/31/21,01/31/21
Smush Strawberry Banana,Lua Brewing,Hard Seltzer,4.5,4.29,01/30/21,01/30/21
Heavy Dust,Barn Town Brewing,IPA - New England / Hazy,3,3.8,01/30/21,01/30/21
Bois N' Berries,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.16,01/30/21,01/30/21
The Braidy Bunch,Barn Town Brewing,Sour - Smoothie / Pastry,4.5,4.11,01/30/21,01/30/21
Big Chungus Scottish-Style Wee Heavy Ale W/ Heather,Confluence Brewing Company,Scotch Ale / Wee Heavy,4,3.98,01/27/21,01/27/21
Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38,01/27/21,01/27/21
Mood - Imperial Stout,Brightside Aleworks,Stout - Imperial / Double Pastry,4,3.78,01/27/21,01/27/21
Pillow Talk,Pulpit Rock Brewing Company,Sour - Fruited,4.75,4.26,01/25/21,01/25/21
What Maryland Does,True Respite Brewing Company,IPA - Imperial / Double New England / Hazy,4,4.09,01/25/21,01/25/21
Barrel Aged The Visitor Imperial Stout (Cinnamon Roll) -- Batch I (12/18/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.5,4.3,01/23/21,01/23/21
Bourbon County Brand Vanilla Stout (2018),Goose Island Beer Co.,Stout - Imperial / Double,4.75,4.52,01/23/21,01/23/21
Serenity,Marto Brewing Company,Pale Ale - New England / Hazy,3.75,4.02,01/20/21,01/20/21
Double Blueberry Love Muffin,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.12,01/20/21,01/20/21
Smell of Money - Azacca,Marto Brewing Company,IPA - New England / Hazy,4.5,4.08,01/20/21,01/20/21
Mango End Layer,Modist Brewing Co.,Sour - Fruited Gose,2.5,3.62,01/17/21,01/17/21
Cherry-O's,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.29,01/16/21,01/16/21
Richard the Whale (2020),Big Grove Brewery,Stout - Russian Imperial,4.5,4.4,01/16/21,01/16/21
Fresh IIPA V50,Hubbard's Cave,IPA - Imperial / Double,3.75,3.97,01/13/21,01/13/21
Shiner Candied Pecan Porter,Spoetzl Brewery,Porter - Other,4,3.63,01/13/21,01/13/21
Jumbled Up,Dimensional Brewing Company,Stout - Coffee,4.25,4.01,01/13/21,01/13/21
Cuvee - Just Maple (2020),Cycle Brewing Company,Stout - Imperial / Double,4.5,4.27,01/09/21,01/09/21
CHONK Peanut Butter & Jelly,Drekker Brewing Company,Sour - Smoothie / Pastry,4.5,4.22,01/08/21,01/08/21
Some IPA,Pulpit Rock Brewing Company,IPA - American,4.5,4.04,01/08/21,01/08/21
Barrel Aged 12 On Twelve12,Barn Town Brewing,Stout - Imperial / Double Pastry,5,4.44,01/07/21,01/07/21
Again,Lua Brewing,Stout - Imperial / Double,4.5,4.67,01/07/21,01/07/21
Digital Distraction,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.1,01/06/21,01/06/21
Not Your Kind of People,Anchorage Brewing Company,IPA - Imperial / Double,4.5,4.1,01/06/21,01/06/21
Rêve Coffee Stout,Parish Brewing Co.,Stout - Coffee,4.25,4.22,01/04/21,01/04/21
The Sorcerer,Anchorage Brewing Company,IPA - American,4.25,3.97,01/04/21,01/04/21
Show And Tell,Pulpit Rock Brewing Company,Sour - Fruited,4.25,4.07,01/04/21,01/04/21
Viking Funeral,Four Fathers Brewing,Stout - Imperial / Double Milk,4,4.02,01/02/21,01/02/21
Alma Mater (2019),Pulpit Rock Brewing Company,IPA - Imperial / Double,4.25,4.03,01/02/21,01/02/21
Juicy Bits,WeldWerks Brewing Co.,IPA - New England / Hazy,4.5,4.18,01/01/21,01/01/21
Señor Rhino,Alesong Brewing & Blending,Stout - Imperial / Double,4.25,4.32,01/01/21,01/01/21
Barrel-Aged Waffle Cone - Neapolitan,Main & Mill Brewing Company,Stout - Imperial / Double Pastry,4.5,4.31,12/30/20,12/30/20
Dark Charge - S'mores (2020),Braxton Brewing Company,Stout - Pastry,3.5,3.84,12/30/20,12/30/20
Snugglebug,Smog City Brewing Co.,Sour - Fruited,4.25,4.14,12/30/20,12/30/20
Cherry Fluff,Dimensional Brewing Company,Sour - Fruited,4,4.11,12/30/20,12/30/20
Barrel Aged Yer Killin’ Me Smores,Barn Town Brewing,Stout - Imperial / Double Pastry,4.5,4.14,12/29/20,12/29/20
Need Direction?,Anchorage Brewing Company,IPA - Triple,4.25,4.17,12/28/20,12/28/20
Double Raspberry Shake,Great Notion Brewing,Sour - Fruited,4,4.32,12/27/20,12/27/20
CAN PHONES,BlackStack Brewing,IPA - Imperial / Double New England / Hazy,4,4.21,12/26/20,12/26/20
Barrel Aged Aurox Imperial Stout (Triple Vanilla) -- Batch I (10/30/2020),Alluvial Brewing Company,Stout - Imperial / Double,4.25,3.97,12/25/20,03/10/21
Rule of Thirds,Phase Three Brewing,IPA - Imperial / Double New England / Hazy,4.5,4.13,12/25/20,12/25/20
Brolo Ties,Dimensional Brewing Company,IPA - New England / Hazy,4.25,4.04,12/23/20,12/23/20
Snowed In - Coconut (2020),Copper Kettle Brewing Company (Colorado),Stout - Oatmeal,4.5,4.2,12/22/20,12/22/20
"Alpha Abstraction, Vol. 14",Wild Leap Brew Co.,IPA - Imperial / Double New England / Hazy,4.25,4.19,12/21/20,12/21/20
Legendary Lemon,Lil Beaver Brewery,Blonde Ale,3.5,3.8,12/21/20,12/21/20
Jacuzzi Moves,Pulpit Rock Brewing Company,Sour - Smoothie / Pastry,4.5,4.37,12/21/20,12/21/20
Hadal,Lua Brewing,Stout - Imperial / Double,4.5,4.37,12/19/20,12/19/20
Weather Beacon Red,Confluence Brewing Company,Märzen,3.75,3.73,12/19/20,12/19/20
Tryptophan,Lua Brewing,IPA - Triple,4.25,4.48,12/19/20,12/19/20
Imperial Nutcase,Listermann Brewing Company,Porter - Imperial / Double,4,4.17,12/19/20,12/19/20
Vanilla Bean Abraxas (2020),Perennial Artisan Ales,Stout - Imperial / Double,4.5,4.38,12/18/20,12/18/20
Big Frooty #32: Pineapple Upside Down Cake,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.11,12/16/20,12/16/20
Ghosts of Giants,Varietal Beer Co.,Stout - Imperial / Double,3.25,3.97,12/16/20,12/16/20
Big Frooty #31 - Boodrow,Barn Town Brewing,Sour - Smoothie / Pastry,4,4.01,12/16/20,12/16/20
"Coastal Sunshine (v9) Passion Fruit, Orange, Guava",Humble Forager Brewery,Sour - Fruited,4.25,4.17,12/16/20,12/16/20
Fruit Creep,Illuminated Brew Works,IPA - Imperial / Double New England / Hazy,4.25,3.98,12/15/20,12/15/20
